Company	Count
Armenian Development Bank OJSC	1
Canadia Bank Plc	1
First Metro Investment Corporation	1
Banco Da China Brasil S.A.	1
Alpha Bank Romania	1
Westra Wermlands Sparbank	1
Safra National Bank of New York	1
Sala Sparbank	1
Banco Finantia Spain SA	1
Stadshypotek AB	1
Bonki Rushdi Tojikiston	1
RCI Banque	1
BANCA CREDIFARMA S.P.A.	1
Banca PSA Italia Spa	1
Caja Popular José Ma. Mercado	1
Toyota Financial Services México	1
COOPE San Marco RL	1
Varbergs Sparbank AB	1
Natixis SA	1
Jutlander Bank A/S	1
Jiangxi Bank co LTD	1
Tjustbygdens Sparbank AB	1
Banca di Credito Cooperativo dei Colli Albani	1
Chailease Finance Co Ltd	1
Osaka Shinkin Bank	1
BANCO RNX SA	1
Högsby Sparbank	1
Hoist Finance AB	1
Al Rajhi Bank	1
Citibank NA	1
Banco de Servicios Financieros SA	1
